model - 1577686734,1577686734.922,0.52,0.2498,0.59,0.2493
model - 1577686734,1577686734.946,0.62,0.2488,0.49,0.2586
model - 1577686734,1577686734.971,0.34,0.2813,0.6,0.2489
model - 1577686734,1577686734.995,0.49,0.2499,0.48,0.2515
model - 1577686734,1577686735.019,0.49,0.2507,0.51,0.248
model - 1577686734,1577686735.046,0.5,0.2522,0.42,0.2537
model - 1577686734,1577686735.071,0.58,0.2465,0.48,0.251
model - 1577686734,1577686735.095,0.48,0.2499,0.47,0.251
model - 1577686734,1577686735.123,0.41,0.2527,0.54,0.2491
model - 1577686734,1577686735.151,0.56,0.2494,0.51,0.2494
model - 1577686734,1577686735.175,0.44,0.2503,0.47,0.2502
model - 1577686734,1577686735.199,0.43,0.2509,0.6,0.2487
model - 1577686734,1577686735.223,0.59,0.2486,0.58,0.2492
model - 1577686734,1577686735.247,0.59,0.2492,0.62,0.2491
model - 1577686734,1577686735.273,0.62,0.2487,0.66,0.2481
model - 1577686734,1577686735.3,0.53,0.2489,0.5,0.249
model - 1577686734,1577686735.334,0.6,0.2465,0.43,0.2521
model - 1577686734,1577686735.366,0.49,0.2491,0.51,0.2488
model - 1577686734,1577686735.396,0.46,0.2501,0.53,0.2473
model - 1577686734,1577686735.42,0.58,0.2477,0.47,0.2513
model - 1577686734,1577686735.445,0.53,0.2471,0.54,0.2486
model - 1577686734,1577686735.47,0.51,0.2502,0.5,0.2489
model - 1577686734,1577686735.497,0.47,0.2522,0.62,0.2436
model - 1577686734,1577686735.523,0.66,0.2423,0.74,0.239
model - 1577686734,1577686735.547,0.58,0.2467,0.48,0.2501
model - 1577686734,1577686735.576,0.48,0.2467,0.44,0.2539
model - 1577686734,1577686735.603,0.57,0.2406,0.56,0.2397
model - 1577686734,1577686735.629,0.5,0.2485,0.55,0.2478
model - 1577686734,1577686735.654,0.64,0.2398,0.67,0.2381
model - 1577686734,1577686735.678,0.56,0.2461,0.66,0.2378
model - 1577686734,1577686735.704,0.54,0.2447,0.63,0.2369
model - 1577686734,1577686735.729,0.57,0.2449,0.65,0.2384
model - 1577686734,1577686735.753,0.65,0.2369,0.52,0.2395
model - 1577686734,1577686735.778,0.6,0.2317,0.53,0.2581
model - 1577686734,1577686735.802,0.58,0.2479,0.71,0.2184
model - 1577686734,1577686735.828,0.56,0.2382,0.52,0.2546
model - 1577686734,1577686735.853,0.68,0.2306,0.5,0.26
model - 1577686734,1577686735.878,0.63,0.2309,0.63,0.2383
model - 1577686734,1577686735.902,0.66,0.2217,0.6,0.2324
model - 1577686734,1577686735.928,0.71,0.2177,0.57,0.2347
model - 1577686734,1577686735.952,0.63,0.2331,0.58,0.2458
model - 1577686734,1577686735.983,0.53,0.2547,0.59,0.2421
model - 1577686734,1577686736.008,0.53,0.2534,0.63,0.2352
model - 1577686734,1577686736.034,0.58,0.2342,0.68,0.2281
model - 1577686734,1577686736.06,0.58,0.2465,0.59,0.2414
model - 1577686734,1577686736.084,0.58,0.2414,0.6,0.2392
model - 1577686734,1577686736.109,0.61,0.228,0.6,0.2356
model - 1577686734,1577686736.135,0.56,0.2436,0.59,0.2379
model - 1577686734,1577686736.159,0.64,0.2278,0.63,0.2351
model - 1577686734,1577686736.185,0.59,0.2416,0.59,0.2261
model - 1577686734,1577686736.213,0.65,0.2219,0.65,0.2249
model - 1577686734,1577686736.244,0.56,0.2452,0.62,0.2315
model - 1577686734,1577686736.268,0.56,0.2471,0.62,0.225
model - 1577686734,1577686736.292,0.61,0.2373,0.65,0.2209
model - 1577686734,1577686736.322,0.56,0.2565,0.64,0.2306
model - 1577686734,1577686736.354,0.68,0.2202,0.64,0.2287
model - 1577686734,1577686736.387,0.69,0.2207,0.66,0.2315
model - 1577686734,1577686736.416,0.58,0.2376,0.57,0.234
model - 1577686734,1577686736.443,0.65,0.2181,0.65,0.229
model - 1577686734,1577686736.472,0.61,0.2249,0.56,0.2303
model - 1577686734,1577686736.499,0.57,0.2454,0.56,0.2433
model - 1577686734,1577686736.526,0.7,0.214,0.52,0.2579
model - 1577686734,1577686736.555,0.55,0.2597,0.51,0.2644
model - 1577686734,1577686736.594,0.49,0.2785,0.58,0.2465
model - 1577686734,1577686736.632,0.61,0.2285,0.62,0.2223
model - 1577686734,1577686736.67,0.61,0.2389,0.53,0.2497
model - 1577686734,1577686736.697,0.59,0.2313,0.63,0.2248
model - 1577686734,1577686736.723,0.6,0.2369,0.6,0.2262
model - 1577686734,1577686736.748,0.55,0.2423,0.62,0.2326
model - 1577686734,1577686736.772,0.6,0.2407,0.68,0.2278
model - 1577686734,1577686736.796,0.64,0.2274,0.62,0.2397
model - 1577686734,1577686736.821,0.62,0.2345,0.73,0.2181
model - 1577686734,1577686736.848,0.57,0.2475,0.6,0.2401
model - 1577686734,1577686736.872,0.62,0.2384,0.59,0.2407
model - 1577686734,1577686736.897,0.58,0.2408,0.56,0.2423
model - 1577686734,1577686736.921,0.58,0.237,0.71,0.2175
model - 1577686734,1577686736.949,0.59,0.2296,0.6,0.2389
model - 1577686734,1577686736.975,0.57,0.2455,0.7,0.2215
model - 1577686734,1577686737.0,0.59,0.2343,0.64,0.229
model - 1577686734,1577686737.025,0.61,0.2344,0.58,0.2434
model - 1577686734,1577686737.053,0.55,0.2437,0.6,0.237
model - 1577686734,1577686737.08,0.65,0.2278,0.66,0.222
model - 1577686734,1577686737.105,0.59,0.2409,0.63,0.2317
model - 1577686734,1577686737.129,0.56,0.2379,0.59,0.2401
model - 1577686734,1577686737.155,0.64,0.2222,0.58,0.2495
model - 1577686734,1577686737.182,0.73,0.1982,0.61,0.2434
model - 1577686734,1577686737.206,0.62,0.2237,0.59,0.24
model - 1577686734,1577686737.23,0.62,0.2329,0.59,0.2417
model - 1577686734,1577686737.257,0.64,0.2324,0.63,0.228
model - 1577686734,1577686737.283,0.54,0.2454,0.53,0.2569
model - 1577686734,1577686737.308,0.62,0.2323,0.67,0.2252
model - 1577686734,1577686737.333,0.51,0.248,0.56,0.24
model - 1577686734,1577686737.359,0.61,0.2381,0.57,0.2552
model - 1577686734,1577686737.384,0.56,0.2384,0.59,0.2337
model - 1577686734,1577686737.408,0.52,0.2505,0.46,0.2634
model - 1577686734,1577686737.44,0.48,0.2553,0.61,0.2373
model - 1577686734,1577686737.467,0.64,0.2293,0.62,0.2282
model - 1577686734,1577686737.492,0.61,0.2428,0.61,0.2352
model - 1577686734,1577686737.517,0.56,0.25,0.61,0.2296
model - 1577686734,1577686737.543,0.53,0.2476,0.6,0.2425
model - 1577686734,1577686737.57,0.5,0.2371,0.58,0.2474
model - 1577686734,1577686737.595,0.53,0.254,0.55,0.2381
model - 1577686734,1577686737.625,0.64,0.2366,0.61,0.2308
model - 1577686734,1577686737.649,0.61,0.234,0.55,0.2416
model - 1577686734,1577686737.675,0.59,0.2363,0.65,0.2308
model - 1577686734,1577686737.7,0.63,0.2409,0.62,0.2282
model - 1577686734,1577686737.726,0.64,0.2286,0.59,0.2378
model - 1577686734,1577686737.75,0.62,0.2249,0.63,0.2315
model - 1577686734,1577686737.777,0.59,0.2384,0.58,0.2403
model - 1577686734,1577686737.802,0.52,0.2551,0.69,0.2148
model - 1577686734,1577686737.828,0.55,0.2439,0.64,0.2279
model - 1577686734,1577686737.853,0.58,0.2426,0.61,0.2282
model - 1577686734,1577686737.88,0.54,0.2492,0.61,0.2273
model - 1577686734,1577686737.911,0.63,0.2304,0.65,0.2274
model - 1577686734,1577686737.94,0.61,0.234,0.62,0.232
model - 1577686734,1577686737.965,0.58,0.238,0.55,0.2338
model - 1577686734,1577686737.992,0.61,0.2282,0.62,0.2363
model - 1577686734,1577686738.016,0.53,0.2403,0.66,0.2192
model - 1577686734,1577686738.041,0.6,0.2308,0.55,0.2313
model - 1577686734,1577686738.068,0.53,0.2457,0.55,0.2367
model - 1577686734,1577686738.094,0.55,0.2439,0.6,0.2347
model - 1577686734,1577686738.125,0.64,0.2341,0.69,0.2201
model - 1577686734,1577686738.161,0.63,0.2425,0.59,0.2306
model - 1577686734,1577686738.195,0.56,0.2456,0.6,0.2358
model - 1577686734,1577686738.222,0.63,0.233,0.58,0.2368
model - 1577686734,1577686738.247,0.59,0.2328,0.71,0.2152
model - 1577686734,1577686738.271,0.55,0.2444,0.63,0.2369
model - 1577686734,1577686738.296,0.6,0.2228,0.54,0.2438
model - 1577686734,1577686738.325,0.55,0.2242,0.67,0.2196
model - 1577686734,1577686738.349,0.55,0.2453,0.59,0.2365
model - 1577686734,1577686738.374,0.66,0.2285,0.57,0.2332
model - 1577686734,1577686738.399,0.73,0.2182,0.67,0.2161
model - 1577686734,1577686738.427,0.66,0.2249,0.68,0.2304
model - 1577686734,1577686738.451,0.61,0.2262,0.66,0.223
model - 1577686734,1577686738.476,0.63,0.2394,0.64,0.2179
model - 1577686734,1577686738.504,0.59,0.2357,0.69,0.2249
model - 1577686734,1577686738.53,0.55,0.2453,0.62,0.2201
model - 1577686734,1577686738.558,0.62,0.2211,0.62,0.2327
model - 1577686734,1577686738.585,0.57,0.2358,0.65,0.2148
model - 1577686734,1577686738.611,0.64,0.2364,0.68,0.2056
model - 1577686734,1577686738.643,0.63,0.2308,0.58,0.2344
model - 1577686734,1577686738.669,0.64,0.2271,0.58,0.2376
model - 1577686734,1577686738.695,0.66,0.2147,0.56,0.244
model - 1577686734,1577686738.721,0.59,0.2475,0.67,0.219
model - 1577686734,1577686738.748,0.69,0.2128,0.62,0.224
model - 1577686734,1577686738.772,0.62,0.2191,0.66,0.2102
model - 1577686734,1577686738.797,0.69,0.2086,0.63,0.2144
model - 1577686734,1577686738.821,0.6,0.2358,0.7,0.2076
model - 1577686734,1577686738.847,0.69,0.2008,0.67,0.2263
model - 1577686734,1577686738.874,0.7,0.2009,0.74,0.1858
model - 1577686734,1577686738.899,0.68,0.2093,0.72,0.1882
model - 1577686734,1577686738.923,0.6,0.2406,0.64,0.2169
